,customer_id,rcpt_domain_legacy_isp,rcpt_domain_other,total_injection_count,total_injection_count_tracked,complaint_count,trap_count,open_count,admin_csl_bounce,admin_gsl_bounce,admin_other_bounce,block_bounce,dns_failure_bounce,generic_bounce,hard_bounce,mailbox_full_bounce,other_bounce,smart_send_suppression_bounce,soft_bounce,timeout_bounce,too_large_bounce,transient_failure_bounce,undetermined_bounce,rcpt_domain_legacy_isp_percent,rcpt_domain_other_percent,total_injection_count_tracked_percent,complaint_count_percent,trap_count_percent,open_count_percent,admin_csl_bounce_percent,admin_gsl_bounce_percent,admin_other_bounce_percent,block_bounce_percent,dns_failure_bounce_percent,generic_bounce_percent,hard_bounce_percent,mailbox_full_bounce_percent,other_bounce_percent,smart_send_suppression_bounce_percent,soft_bounce_percent,timeout_bounce_percent,too_large_bounce_percent,transient_failure_bounce_percent,undetermined_bounce_percent,terminated
201,201,8,1502,1510,1510,,,962,,,,,,,,3,,,,,,6,,0.005298013,0.994701987,1,0,0,0.637086093,0,0,0,0,0,0,0,0.001986755,0,0,0,0,0,0.00397351,0,FALSE
202,202,7,9980,9987,0,5,51,,2,206,,123,16,1,2211,2,,,,,1,,11,0.000700911,0.999299089,0,0.000500651,0.005106639,0,0.00020026,0.020626815,0,0.012316011,0.001602083,0.00010013,0.221387804,0.00020026,0,0,0,0,0.00010013,0,0.001101432,TRUE
203,203,,8436,8436,0,,,,,,,2,,,1,,,,,,,,,0,1,0,0,0,0,0,0,0,0.000237079,0,0,0.00011854,0,0,0,0,0,0,0,0,TRUE
204,204,,1461,1461,1399,,,400,2,,,,,,13,,,,,,,,,0,1,0.957563313,0,0,0.273785079,0.001368925,0,0,0,0,0,0.008898015,0,0,0,0,0,0,0,0,FALSE
205,205,,1633,1633,0,,4,,59,29,,4,1,,353,,,,,,,,2,0,1,0,0,0.002449479,0,0.036129822,0.017758726,0,0.002449479,0.00061237,0,0.216166565,0,0,0,0,0,0,0,0.00122474,TRUE
206,206,,2711,2711,2711,,2,2661,17,18,,10,,,18,2,,,,2,,,2,0,1,1,0,0.000737735,0.981556621,0.006270749,0.006639616,0,0.003688676,0,0,0.006639616,0.000737735,0,0,0,0.000737735,0,0,0.000737735,FALSE
207,207,,2689,2689,0,,,,,5,,3,,,171,1,,,,3,,,9,0,1,0,0,0,0,0,0.001859427,0,0.001115656,0,0,0.063592414,0.000371885,0,0,0,0.001115656,0,0,0.003346969,TRUE
208,208,,82004,82004,82004,5,9,36518,1714,364,,4,1,,573,,,,,412,,16,4,0,1,1,6.10E-05,0.000109751,0.445319741,0.020901419,0.004438808,0,4.88E-05,1.22E-05,0,0.006987464,0,0,0,0,0.005024145,0,0.000195112,4.88E-05,FALSE
209,209,126,6305,6431,6429,4,104,1966,141,11,,63,8,8,410,,,,,10,1,,294,0.019592598,0.980407402,0.999689006,0.000621987,0.016171668,0.305706733,0.021925051,0.001710465,0,0.009796299,0.001243974,0.001243974,0.063753693,0,0,0,0,0.001554968,0.000155497,0,0.045716063,FALSE
210,210,537551,4640558,5178109,5178040,1039,1310,226608,6552,631,,12190,17,109,1851,188,,,1,4814,,404,3094,0.103812222,0.896187778,0.999986675,0.000200652,0.000252988,0.043762694,0.001265327,0.000121859,0,0.002354141,3.28E-06,2.11E-05,0.000357466,3.63E-05,0,0,1.93E-07,0.000929683,0,7.80E-05,0.000597515,FALSE
